ID_Menu,Nama_Menu,Restoran,Kota
MNU000182,Roti Baakar,Depot Makan Enak,Balikpapan
MNU000364,Rawon Surabaya,Warung Pak Budi,Bandung
MNU000535,Soto Ayam Lamongan,Warung Pak Budi,Kota Tidak Diketahui
MNU000275,Mie Ayam Bakso,Restoran Tidak Diketahui,mALANG
MNU000904,Martabak Telor,Warung Tegal,Banjarmasin
MNU000070,Roti Bakar,Rumah Makan Padang,Medan
MNU000292,Ayam Bakar,Cafe Kopi Nusantara,Denpasar
MNU000132,Sate Ayam,Warung Pak Budi,Bekasi
MNU000301,Rendang Daging,RM Sederhana,Palembang
MNU000543,,Warung Tegal,bandung
MNU000327,Cappuccino,Kedai Soto,Bogor
MNU000145,Roti Bakar,RM Sederhana,semarang
MNU000540,Tidak Ada,Restoran Tidak Diketahui,Banjaarmasin
MNU000668,Cappuccino,Warung Pak Budi,Jakarta
MNU000971,Mie Ayam Bakso,Restoran Tidak Diketahui,Kota Tidak Diketahui
MNU000136,Opor Ayam,Cafee Kopi Nusantara,MAKASSAR
MNU000339,Gado-gado,Cafe Kopi Nusantara,bogor
MNU000868,Mie Ayam Bakso,Rumah Maka nPadang,Batam
MNU000165,Gado-gado,Warung Pak Budi,Tangerang
MNU000029,N/A,Kedai Soto,Batam
MNU000644,Ketoprak,Restoran Tidak Diketahui, 
MNU000194,Kopi Susu Gula Aren,Cafe Kopi Nusantara,bOGOR
MNU000731, ,Depot Makan Enak,Manado
MNU000434,Soto Ayam Lamongan,Rumah Makan Padang,boor
MNU000815,Mie Ayam Bakso,Warung Pak Budi,makassar
MNU000170,Es Teh Manis,Cafe Kopi Nusantara,Depok
MNU000723,Gado-gado,Resto Premium,makassar
MNU000141,Ketoprak,Warung Pak Budi,Kota Tidak Diketahui
MNU000174,Opor Ayam,Resto Premium,PONTIANAK
MNU000007,Bakso Urat,Depot MakanE nak,depok
MNU000735,Sate Ayam,Restoran Tidak Diketahui,Surabaya
MNU000568,Rawon Surabaya,Warung Tegal,Palembang
MNU000492,N/A,Resto Premium,PONTIANAK
MNU000590,Ayam Bakar,Kedai Stoo,Denpasar
MNU000074,Ayam Bakar,RM Sederhana,banndung
MNU000782,Martabak Telor,Cafe Kopi Nusantara,Bekasi
MNU000533,Soto Ayam Lamongan,Resto Premium,JAKARTA
MNU000239,Es Teh Manis,Cafe Kopi Nusantara,sEMARANG
MNU000146,Rawon Surabaya,Kedai Soto,SURABAYA
MNU000903,Rawon Surabaya,Warung Tegal,SURABAYYA
MNU000235,Nasi Udk,Rumah Makan Padang,bOGOR
MNU000221,Pecel Lele,Rumah Makan Padang,Pontianak
MNU000215,,Rumah Makan Padang,Pontianak
MNU000756, ,RM Sederhana,surabaya
MNU000133,,Depot Makan Enak,Palembang
MNU000963,Roti Bakar,Warung Pak Budi,Kota Tidak Diketahui
MNU000591,,Cafe Kopi Nusantara,Pontianak
MNU000186,Martabak Telor,Kedai Soto,YOGYAKARTA
MNU000042,Cafppuccino,Depot Makan Enak,bandung
MNU000109,Bakso Urat,Cafe Kopi Nusantara,Denpasar
MNU000676,Roti Bakar,Warung Pak Budi,Kota Tidak Diketahui
MNU000527,Es Teh Manis,Retso Premium,BOGOR
MNU000799,Kopi Susu Gula Aren,Kedai Soto,Jakarrta
MNU000484,Soto Ayam Lamongan,Warung Pak Budi,bEKASI
MNU000469,Nasi Padang,RM Sederhana,Jakarta
MNU000025,Nasi Padang,Depot Makan Enak,pONTIANAK
MNU000536,Roti Bakar,Warung Tegal, 
MNU000599,Nasi Goreng Spesial,Kedai Soto,jakarta
MNU000873,Rawon Surabaya,WarUng Pak Budi,Jakarta
MNU000793,Cappuccino,Restoran Tidak Diketahui,Makakssar
MNU000367,Jus Alpukat,Warung Tegal,bANJARMASIN
MNU000671,Bakso qUrat,Kedai Soto,Banjarmasin
MNU000384,Nasi Uduk,Rumah Makan Padang,Pekanbaru
MNU000455,Kopi Susu Gula Aren,Cafe Kopi Nusanttara,SURABAYA
MNU000265,Gado-gado,Resto Premium,makassar
MNU000781,Nasi Goreng Spesial,Depot Makan Enak,jAKARTA
MNU000445,Ketoprak,Depdot Makan Enak,BALIKPAPAN
MNU000396,Rendang Daging,Rumah Makan Padang,Denpasar
MNU000177,-,Depot Makan Enak,Banjarmasin
MNU000019,Jus Alpukat,Rumah Makan Padang,PONTIANAK
MNU000571,Cappuccino,Warung Tegal,Surabaya
MNU000653,Martabak Telor,Kedai Soto,bOGOR
MNU000062,Nasi Goreng Spesial,Cafe Kopi Nusantara,Bekasi
MNU000273,Rendang Daging,Cafe Kopi Nusantara,Bogor
MNU000279,Gado-gado,Resto Premium,Kota Tidak Diketahui
MNU000973,Rendang Daging,Cafe Kopi Nusantara,bATAM
MNU000369,Ketoprak,Warung Tegal,MAKASSAR
MNU000708,Kopi Susu Gula Aren,Warung Pak Budi,Bekasi
MNU000658,Bakso Urat,Cafe Kopi Nusantara, 
MNU000953,Nasi Uduk,Kedai Soto,pontianak
MNU000548,Rendang Daging,Cfe Kopi Nusantara,Surrabaya
MNU000701,Rendang Daging,Warung Pak Budi,Pekanbaru
MNU000755,Rendang Daging,Kedai Soto,batam
MNU000457,Ayam Bakar,Resto Premium,Batam
MNU000394,Rendang Daging,Depot Makan Enak,BALIKPAPAN
MNU000965,Cappuccino,Kedai Soto,Makassar
MNU000768,Martabak Telor,RumaH Makan Padang,pEKANBARU
MNU000376,Es Teh Manis,Resto Premium,MALmANG
MNU000413,Es Teh Manis,Warung Pak Budi,Jakarta
MNU000075,Es Teh Manis,Resto Premium,Bogor
MNU000501,Nasi Uduk,Depot Makan Enak,bANDUNG
MNU000852,Martabak Telor,Kedai Soto,bANDUNG
MNU000115,Ketoprak,Depot Makan Enak,batam
MNU000418,N/A,Depot Makan Enak,Depok
MNU000090,Sate Ayam,Depot Makan Enak,Bandung
MNU000987,Soto Ayam Lamongan,Warung Tegal,Maanado
MNU000697,Rawon Surabaya,Warung Tegal,bANDUNG
MNU000704,Bakso Urat,Depot Makan Enak,Jakarta
MNU000012,Soto Ayam Lamongan,Warung Tegal,Semarang
MNU000397,n/a,Warung Pak Budi,dENPASAR
MNU000876,Roti Bakar,RM Sederhana,malang
MNU000906,Rawon Surabaya,Cafe Kopi Nusantara,yOGYAKARTA
MNU000043,Nasi Uduk,RM Sederhana,bogor
MNU000168,Opor Ayam,Resto Premium,Kota Tidak Diketahui
MNU000417,Tidak Ada,Resto Premium,batam
MNU000577,Ayam Bakar,RM Sederhana,Semarang
MNU000936,Nasi Padang,Kedai Soto,sURABAYA
MNU000427,Gado-gado,Warung Tegal,Manado
MNU000545,Nasi Goreng Spesial,Rumah Makan Padang,BANJARMASIN
MNU000783,Jus Alpukat, ,Tagerang
MNU000705,Soto Ayam Lamongan,Rumah Makan Padang,SURABAYA
MNU000258,Kopi Susu Gula Aren,Warung Tegual,Yogyakarta
MNU000336,none,Warung Tegal,mAKASSAR
MNU000016,Rendang Daging,RM Sederhana,MEAN
MNU000325,Sate AAyam,Warung Tegal,depok
MNU000866,Ketoprak,Rumah Makan Padang,Tangerang
MNU000223,Rawon Squrabaya,Wajrung Tegal,tANGERANG
MNU000180,Nasi Uduk,Depot Mkaan Enak,bANJARMASIN
MNU000100,Jus Alpukat,Warung Pak Budi,JAKARTA
MNU000522,Jus Alpukat,Resto Premium,Denpasar
MNU000023,Nasi Goreng Spesial,RM Sederhana,Kota Tidak Diketahui
MNU000357,Roti bakar,Kedai Soto,Bekasi
MNU000765,Cappuccino,Warung Pak Budi,pekanbaru
MNU000982,Bakso Urat,Warung Pak Budi,tANGERANG
MNU000804,Martabak Telor,Kedai Soto,bALIKPAPAN
MNU000341,Bakso Urat,Kedai Soto,bandung
MNU000432,Nasi Padang,Cafe Kopi Nusantara,Medan
MNU000631,Nasi Uduk,Warung Tegal,deppok
MNU000951,Cappuccino,Kedai Soto,Kota Tidak Diketahui
MNU000204,Capppuccino,Rumah Makan Padang,Kota Tidak Diketahui
MNU000724,Es Teh Manis,Rumah Makan Padang,pekanbaru
MNU000094,Soto Ayam Lamongan,Kedai Soto,Kota Tidak Diketahui
MNU000744,Nasi Uduk,Cafe Kopi Nusantara,PALEMBANG
MNU000069,Soto Ayam Lamongan,Warung Tegal,Denpasar
MNU000715,Mie Ayam Bakso,Wuarung Tegal,Kota Tidak Diketahui
MNU000285,Cappuccino,Depot Makan Enak,mNAADO
MNU000916,Nasi Uduk,Warung Tegal,Jakarta
MNU000435,Cappuccino,Rumah Makan Padnag,Malang
MNU000154,Nasi Pdang,RM Sederhana,Banjarmasin
MNU000076,,Warung Pak Bnudi,Pontianak
MNU000837,Roti Bakar,Cafe Kopi Nusantara,pONTIANAK
MNU000581,Ayam Bakar,Resto Premium,Medan
MNU000447,Ayam Bakar,Warung Tegal,Medan
MNU000189,Es Teh Manis,Warung Tegal,surabaya
MNU000272,Jus Alpukat,Depot Makan Enak,Kota Tidak Diketahui
MNU000237,Opor Ayam,Resto Premium,pONTIANAK
MNU000488,Tidak Ada,Rumah Makan Padang,Pontianak
MNU000560,Nasi Padang,Depot Makan Enak,dEPOK
MNU000118,aRwon Surabaya,Depot Makan Enak,bandung
MNU000932,Sate Ayam,Kedai Soto,PALEMBANG
MNU000513,Ketoprak,Resto Premium,Balikpapan
MNU000940,Gado-gado,Rumah Makan Padang,BOGOR
MNU000679,Soto AyamLamongan,Resto Premium,Bogor
MNU000127,Ayam Bakar,Warung Pak Budi,pekanbaru
MNU000117,Kopi Susu Gula Aren,RM Sederhana,Kota Tidak Diketahui
MNU000474,Sate Ayam,Resto Premium,mEDAN
MNU000377,Kopi Susu Gula Aren,RM Sederhana,pALEMBANG
MNU000058,Rendang Daging,Warung Tegal,bOOR
MNU000604,Rawon Surabaya,Depot Makan Enak,Depok
MNU000980,Cappuccio,RM Sederhana,Kota Tidak Diketahui
MNU000106,Ayam Bakar,Kedai Soto,semakrang
MNU000636,Nasi Padang,Warung Tegal,bANDUNG
MNU000370,Ayam Bakar,Cafe Kopi Nusantara,Malang
MNU000269,Pecel Lele,Warung Pak Budi,Kota Tidak Diketahui
MNU000047,Es Teh Manis,Resto Premium,MAKASSAR
MNU000350,Ayam Bakar,Restoran Tidak Diketahui,bANDUNG
MNU000196,Ctappuccino,Restoran Tidak Diketahui,Malang
MNU000103,Soto Ayam Lamongan,Rumah Makan Padang,batam
MNU000952,Kopi Susu Gula Arn,Resto Premium,Makassar
MNU000907,Roti Bakar,RM Sederhana,BOGOR
MNU000790,,Resto Premium,Bekasi
MNU000843,Ayam Bakar,Cfae Kopi Nusantara,medan
MNU000264,,Rumah Makan Padang,manado
MNU000942,,RM Sedderhana,abtam
MNU000444,Es Teh Manis,Resto Premium,bATlAM
MNU000774,Gado-gado,Cafe Kopi Nusantara,Bekasi
MNU000305,Mie Ayam Bakso,Resto Premium,PONTIANAK
MNU000342,Sate Ayam,Rumah Makan Padang,Batam
MNU000690,Sate Ayam,Warung Pak Budi,TANGERANG
MNU000314,Bakso Urat,Restoran Tidak Diketahui,denpasar
MNU000150,Nasi Padang,Rumah Makan Padang,btaam
MNU000125,Rawon Surabaya,Cafe Kopi Nusantara,sEMARANG
MNU000897,Roti  Bakar,Cafe Kopi Nuszantara,yOGYAKARTA
MNU000937,Martabak Telor,Depot Makan Enak,Kota Tidak Diketahui
MNU000051,Sate Ayam,Rumah Makan Padang,Pontianbak
MNU000354,Martabak Telor,Depot Makan Enak,BATAM
MNU000143,Roti Bakar,Cafe Kopi Nusantara,Pontiaak
MNU000471,Es Teh Manis,Cafe Kopi Nusantara,Surabaya
MNU000654,Bakso Urat,Depot Makan Enak,Balikpapan
MNU000400,Martaabk Telor,Rumah Makan Padang,Makassar
MNU000718,Nasi Padang,Depot Makan Enak,Kota Tidak Diketahui
MNU000321, ,Warung Tegal,JAKARTA
MNU000020,Mie Ayam Bakso,Cafe Kopi Nusantara,Bandung
MNU000901,Martabak Telor,Resto Premium,BOGOR
MNU000921,Martabak Telor,Warung Pak Budi,Batam
MNU000408,Jus Alpukat,Warung Pak BuDi,SEMARANG
MNU000538,Opor Ayam,Depot Makan Enak,Makassar
MNU000713,Ayam Bakar,Cafe Kopi Nusantara,Malang
MNU000039,Soto Ayam Lamongan,Depot Makan Enak,Tangerang
MNU000176,Kopi Susu Gula Aren,RM Sederhana,Banjarmasin
MNU000246,Nasi Padang,Cafe Kopi Nusantara,Mean
MNU000945,Kopi Susu Gula Aren,Warung Pak Budi,denpasar
MNU000766,Gado-gado,Warung Pak Budi,bandung
MNU000226,,Resto Premium,Suraaya
MNU000979,Jus Alpukat,Restoran Tidak Diketahui,Medan
MNU000155, ,Depot akan Enak,malang
MNU000639,Tidak Ada,Warung Pak Budi,Pekanbaru
MNU000663,Nasi Goreng Spesial,Resto Premium,pekanbaru
MNU000288,Pecel eLele,Rumah Makan Padang,PONTIANAK
MNU000626,Nasi Goreng Spesial,RM Sederhana,YOGYAKARTA
MNU000686,Jus Alpukat,Resto Premium,Surabaya
MNU000694,none,Resto Premium,Manado
MNU000570,Roti bakar,Restoran Tidak Diketahui,DENPASAR
MNU000850,-,Warung Pak Budi,Jakarta
MNU000018,Mie Ayam Bakso,Warung Pak Budi,Pekanbaru
MNU000128,Martabak Telor,Warung Pak Budi,Makassar
MNU000323,Bakso Urat,Depot Makan Enak,Batam
MNU000256,Sate Ayam,RM Sederhana,mEDAN
MNU000009,Cappuccino,Cafe Kopi Nusantara,makassar
MNU000191,Nasi PadaNg,Depot Makan Enak,Malang
MNU000116,Opor Ayam,Resto PreMium,Tangerang
MNU000709,Nasi Uduk,Cafe Kopi Nusantara,DEPOK
MNU000607,Ketoprak,Warung Tegal,malang
MNU000181,Tidak Ada,R Sederhana,Depok
MNU000302,Bakso Urat,Cafe Kopi Nusantara,Semarang
MNU000867,Mardtabak Telor,Rumah Makan Padang,BEKASI
MNU000828,RawOn Surabaya,Rumah Makan Padang,Pontianak
MNU000784,Opor Aam,Warung Pak Budi,bandung
MNU000760,Ketoprak,Warung Pak Budi,Tangerang
MNU000518,Gado-gado,Warung Tegal,Jakarta
MNU000373,,Resto Premium,mALLANG
MNU000046,Sate Ayam,Warung Pak Budi,MAKASSAR
MNU000477,Kopi Susu Gula Aren, ,Banjaarmasin
MNU000158,Roti Bakar,Rumah Makan Padang,Bekasi
MNU000851,Nasi Uduk,RM Sederhana,mEDAN
MNU000172,Opor aAyam,RM Sederhana,Denpasar
MNU000017,Ayam Bakar,Depot Makan Enak,pONTIANAK
MNU000512,Mie Ayam Bakso,Cafe Kopi Nusantara,Yogyakarta
MNU000049,Nasi Uduk,Cafe Kopi Nusantara,Bekasi
MNU000192,Jus Alpukat,Cafe Kopi Nusantara,DEPOK
MNU000959,Bakso Urat,Warung Pak Budi,Surabaya
MNU000516,Nasi Goreng Spesial,Depot Makan Enak,SURABAYA
MNU000801,Gado-gado,Rumah Makan Padang, 
MNU000785,Jus Alpukat,Depot Makan Enak,Jakarta
MNU000481,Ketoprak,Rumah Makan Padang,palembang
MNU000284,Kopi Susu Gula Aren,Restoran Tidak Diketahui,Bogor
MNU000822,Nasi Goreng Spesial,Warung Pak Budi,MALANG
MNU000750,Roti Bakar,Depot Makan Enak,yOGYAKARTA
MNU000027,Ketoprak,Resto Premium,Semarang
MNU000893,Ketoprak,Resto Premium,manado
MNU000438,Soto Ayam Lamnogan,Warung Tegal,makasesar
MNU000779,,Depot Makan Enak,SEMARANG
MNU000365,Bakso Urat,Rumah Makan Padang,Kota Tidak Diketahui
MNU000230,Martabak Telor,Rumah Makan Padang,Medan
MNU000038,Roti Bakar,Warung Tegal,Semarang
MNU000670,Ayam Bakar,Warwung Tegal,Makassar
MNU000375,Nasi Goreng Spesial,Warung Tegal,Bekasi
MNU000470,Mie Ayam Bakso,Warung Tegal,SEMARANG
MNU000688,Rendang Daging,RM Sederhana,Manado
MNU000970,Ayam Bakar,Depto Makan Enak,Kota Tidak Diketahui
MNU000964,Nasi Goreng Spesial,Rumah Makan Padang,TANGERANG
MNU000831,Ayam Bakar,Cafe Kopi Nusantara,Bandung
MNU000195,Nasi Goreng Spesial,Kedai Sto,dENPASAR
MNU000975,Soto Ayam Lamongan,Cafe Kopi Nusantara,Yogyakarta
MNU000985,Kopi Susu Gula Aren,Rumah Makan Padang,Surabaya
MNU000948,Pecel Lele,RM Sederhana,MALANG
MNU000580,Nasi Uduk,Rumah Makan Padang,Surabaya
MNU000161,Sate Ayam,RM Sederhana,balikpapan
MNU000681,Rendang Daging,Depot Makan Enak,SuRabaya
MNU000015,Soto Ayam Lamongan,Cafe Kopi Nusantara,Semarang
MNU000163,Cappuccino,Warung Pak Budi,Manado
MNU000706,Rendang Daging,Warung Tegal,Makassar
MNU000803,Opor Ayam,Depot Makan Enak,Batam
MNU000153,Jus Alpukat,Warung Tegal,PEKANBARU
MNU000972,Ayam Bakar,Cafe Kopi NNusantara,tANGERANG
MNU000800,Sate AyAm,KedaI Soto,bogor
MNU000112,Roti Bakar,Resto Premium,BOGOR
MNU000787,Bakso Urat,Warung Tegal,BATAM
MNU000104,Kopi Susu Gula Aren,RM Sederhana,Palembang
MNU000422,Opor Ayam,Warung Tegal,Tangerang
MNU000420,Opor Ayam,Rumah Makan Padang,Tangedrang
MNU000242,Tidak Ada,RM Sederhana,bekasi
MNU000587,N/A,RM Sederhana,JAKARTA
MNU000891,Martabak Telor,Rumah Makan Padang,Balikpapan
MNU000673,Gado-gajdo,Cafe Kopi Nusantara,Medan
MNU000120,Ayam Bakar,Resto Premium,yOGYAKARTA
MNU000054,Pecel Lele,Restoran Tidak Diketahui,Medan
MNU000152,Roti Bakar,Warung Pak Budi,MAKASSAR
MNU000404,none,Warung Pak Budi,Kota Tidak Diketahui
MNU000208,Tidak Ada,Warung Pak Budi,batam
MNU000947,Nasi Uduk,Depot makan Enak,Kota Tidak Diketahui
MNU000920,Opor Ayam,Warung Pak Budi,MeDAN
MNU000037,Nasi Uduk,Resto Premium,Tangerang
MNU000652,Soto Ayam Lamongan,Rumah Makan Padang,BOGOR
MNU000254,Cappuccino,Depot Makan Enak,DENPASAR
MNU000304,Ketoprak,DepOt Makan Enak,Kota Tidak Diketahui
MNU000853,Cappuccino,Cafe Kopi Nusamntara,jakarta
MNU000572,Mie Ayam Bakso,Warung Tegal,YOGYAKARTA
MNU000624, ,Warung Tegal,Pekanbaru
MNU000811,Martabak Telor,Warung Pak Budi,Jakarta
MNU000823,Pecel Lele,Cafe Kopi Nusantara,manado
MNU000998,Nasi Padang,RM Sederhana,DEPOK
MNU000263,Nasi Padang,Kedai Soto,yogyakarta
MNU000611,Gado-gado,Depot Makan Enak,Depok
MNU000298, ,Depot Makan Enak,Bekasi
MNU000415,Ketoprak,Warung Pak Budi,DENAPSAR
MNU000151,Cappuccino,Kedai Soo,MEDAN
MNU000899,Mie Ayam Bakso,Warung Tegal,MALANG
MNU000641,Mie Ayam Bakso,Rumah Makan Padang,jAKARTA
MNU000551,Es Teh Manis,Warung Pak Budi,PONTIANAK
MNU000902,Bakso Urat,Warung Tegal,medan
MNU000489,Bakso Urat,Rumah Makan Padang,surabaya
MNU000711,Gado-gado,Rumah Makan Padang,denpasar
MNU000148,Ketoprak,Kedai Soto,jAKARTA
MNU000147,Es Teh Manis,Warung Pak Budi,Yogyakarta
MNU000825,n/a,RM Sederhana,Surabaya
MNU000346,Bakso Urat,Cafe Kopi Nusantara,DEPOK
MNU000846,Pecel Lele,Cafe Kopi Nusantara,Batam
MNU000660,Opor Ayam,Rumah Makan Padang,Kota Tidak Diketahui
MNU000771,Pecel Lele,Deepot Makan Enak,pALEMBANG
MNU000349,Pecel Lele,Warung Pak Budi,Bogor
MNU000464,Gaod-gado,RM Sederhana,Semaraing
MNU000326,Sate Ayam,Resto Premium,Semarang
MNU000187,Es Teh Manis,Warung Pak Budi,Kota Tidak Diketahui
MNU000124,Cappuccino,Kedai Soto,yOGYAKARTA
MNU000974,Jus Alpukat,Warung Pak Budi,Pekanbaru
MNU000609,Bakso Urat,Depot Makan Enak,BOGOR
MNU000144,Gado-gado,Rumah Makan Padang,Depok
MNU000752,Soto Ayam Lamongan,Warung Pak Budi,mAKASSAR
MNU000198,Kopi Susu Gula Aren,Depot Makan Enak,Depok
MNU000610,Roti Bakar,Restoran Tidak Diketahui,Bekasi
MNU000280,Ketoprak,Warung Pak Budi,Kota Tidak Diketahui
MNU000294,Es Teh Manis,RM SederHana,pKEANBARU
MNU000949,Sate Ayam,Warung Pak Budi,Balikpapan
MNU000123,Cappuccino,RM Sederhana,Tangerang
MNU000184,Opor Ayam,Cafe Kopi Nusantra,Depok
MNU000203,Jus Alpukat,Resto Premium,BOGOR
MNU000439,Rendang Daging,Resto Premium,tangerang
MNU000836,Nasi Padang,Depot Makan Enak,Kota Tidak Diketahui
MNU000247,Soto Ayam Lamongan,RM Sederhana,Denpasar
MNU000416,Rendang Daging,Warung Pak Budi,YogyAkarta
MNU000887,Martbak Telor,Warung Tegal,bogor
MNU000874,Soto Ayam Lamongan,Warung Pxak Budi,Pekanbaru
MNU000898,Roti Bakar,Kedai Soto,MEDAN
MNU000878,Bakso Urat,RM Sederhana,surabaya
MNU000509,Martabak Telor,RM Sederhana,Kota Tidak Diketahui
MNU000130,Kopi Susu Gula Aren,Resto Premium,Bogor
MNU000638,Ayam Bakar,Rumah aMkan Padang,Depok
MNU000403,Rendang Daging,Cafe Kopi Nusantara,Batam
MNU000881,Roti Bakar,RM Sederhana,Kota Tidak Diketahui
MNU000736,Soto Ayam Lamongan,Warung Tegal,Makassar
MNU000220,Es Teh Manis,Rumah Makan Padang,MANADO
MNU000642,Rendang Daging,RM SeDerhana,jAKARTA
MNU000002,Sot Ayam Lamongan,Resto Premium,makAssar
MNU000859,Mie Ayam Bakso,RM Sederhana,Bekasi
MNU000918,Mie Ayam Bakso,Kedai Soto,pekanbaru
MNU000081,Cappuccino,Restoran Tidak Diketahui,Yogyakarta
MNU000625,Rendang Daging,Cafe Kopi Nusantara,Manado
MNU000957,Pecel Lele,Rumah Makan Padang,Bekasi
MNU000869,Nasi Uduk,Warung Tegal,Tagnerang
MNU000387,,Warung Tegal,Tangerang
MNU000807,Sate Ayam,Cafe Kopi Nusantara,pEKANBARU
MNU000510,Bakso Urat,Kedai Soto,Tangerang
MNU000268,Jus Alpukat,Rumah Makan Padang,Manado
MNU000933,Jus Alpukat,RM Sederhana,Pontianak
MNU000442,Mie Ayam Bakso,Warung Pak Budi,Kota Tidak Diketahui
MNU000830,Kopi Susu Gula Aren,RM Sederhnaa,Bogor
MNU000113,Es Teh Manis,Restoran Tidak Diketahui,Surabaya
MNU000692,Gado-gado,Resto Premium,BOOR
MNU000233,Es Teh Manis,Warung Tegal,Palembang
MNU000990,Roti Bakar,Restoran Tidak Diketahui,pekanbaru
MNU000608,Roti Bakar,Rumah Makna Padang, 
MNU000672,Tidak Ada,Depot Makan Enak,Pontianak
MNU000374,Nasi Padang,Depot Makan Enak,aBndung
MNU000827,Cappuccino,Warung Tegal,Pekanbaru
MNU000664,Nasi Padang,RM Sederhana,boogor
MNU000962,Rawon Surabaya,Warung Tegal,bogor
MNU000234,Opor Ayam,Warung Tegal,mEDAN
MNU000819,Ayam Bakar,Rumah Makan Padang,Balikpapan
MNU000896,Ketoprak,RM Sederhana,yogyakarta
MNU000677,Roti Bakar,Resto Premium,Batam
MNU000318,Es Teh Manis,Kedai Soto,Kota Tidak Diketahui
MNU000649,Jus Alpukat,Warung Pak Budi,BOGOR
MNU000411,Nasi Padang,Rumah Makan Padang,bALIKPAPAN
MNU000710,Mie Ayam Bakso,Warung Pak Budi,BANDUNG
MNU000359,Rendang Daging,RM Sederhana,malang
MNU000259,Rawon Surabaya,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000745,Rendang Daging,Cafe Kopi Nusantara,mEDAN
MNU000628,Bakso Urat,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000633,Cappuccino,Warung Tegal,Denpasar
MNU000283,Ayam Bakar,Warung Pak Budi,Banjarmasin
MNU000385,Nasi Uduk,RM SEderhana,Depok
MNU000225,Mie Ayam Bakso,Rumah Makan Padang,Balikpapan
MNU000927,Kopi Susu Gula Aren,Depot Makan Enak,Kota Tidak Diketahui
MNU000473,Rawon Surabaya,Depot Makan Enak,TANGERANG
MNU000348,Bakso Urat,Cafe Kopi Nusantara,Denpasar
MNU000506,Nasi Uduk,Kedai Soto,bogor
MNU000640,Rawon Surabaya,Kedai Soto,malang
MNU000798,Mie Ayam Bakso,Cafe Kopi Nusantara,Semarang
MNU000340,Kopi Susu Gula Aren,RM Sederhana,Pekanbaaru
MNU000556,Martabak Telor,Resto Premium,sEMARANG
MNU000620,Nasi Padang,Restoran Tidak Diketahui,Pontianak
MNU000915,Ketoprak,Depot Makan Enak,palembang
MNU000646,Nasi Goreng Spesial,Kedai Soto,Batam
MNU000966,Gado-gado,Resto Premium,bANJARMASIN
MNU000557,Gdo-gado,Warung Tegal,manado
MNU000682,Es Teh Manis,Rumah Makan Padang,Yogyakarta
MNU000578,Nasi Padang,Cafe Kopi Nusantara,PONTIANAK
MNU000796,Soto Ayam Lamongan,RM Sederhana,pekanbaru
MNU000086,Nasi Uduk,Cafe Kopi Nusantara,SEMARANG
MNU000243,Martabak Telor,Kedai Soto,Kota Tidak Diketahui
MNU000995,Bakso Urat,Resto Premium,bogor
MNU000160,Jus Alpukat,Restoran Tidak Diketahui,depok
MNU000525,Nasi Uduk,RM Sederhana,sURABAYA
MNU000036,Sate Ayam,Resto Premium,Kota Tidak Diketahui
MNU000541,Opor Ayam,Warung Pak Budi,Batam
MNU000171,Rendang Daging,Cafe Kopi Nusantara,Malang
MNU000655,Nasi Goreng Spesial,RM Sedherhana,PEKANBARU
MNU000978,Kopi Susu Gula Aren,Warung Tegal,BANDUNG
MNU000967,Cappuccino,Rumah Makan Padang,Palembaang
MNU000485,Rawon Surabaya,Kedai Soto,Tangerang
MNU000734,Sate Ayam,Warung Tegal,Jakarta
MNU000900,Ayam Bakar,Cafe Kopi Nusantara,Manado
MNU000096,Mie Ayam Bakso,RM Sederhana,PALEMbANG
MNU000564,Opor Ayam,Restoran Tidak Diketahui,bogor
MNU000241,Soto Ayam Lamongan,RM Sederhana,MALANG
MNU000743,Gado-gardo,Restoran Tidak Diketahui,bANDUNG
MNU000864,Sate Ayam,Warung Pak Budi,YOGYAKARTA
MNU000575,Pecel Lele,Resto Premium,Kota Tidak Diketahui
MNU000691,Nasi Padang,Restoran Tidak Diketahui,pontianak
MNU000461,Jus Alpukat,RM Sederhana,Kota Tidak Diketahui
MNU000554,Mie Ayam Bakso,Cafe Kopi Nusantara,Malang
MNU000858,Bakso Urat,Cazfe Kopi Nusantara,Banjarmasin
MNU000999,Cappuccino,Cafe Kopi Nusantara,pEKANBARU
MNU000207,Tidak Ada,Depot Makan Enak,Denpasar
MNU000393,Keoprak,Warung Tegal,BOGOR
MNU000795,Gado-gado,Rumah Makan Padang,Jakarta
MNU000871,Gado-gado,Depot Makan Enak,Kota Tidak Diketahui
MNU000398,Mie Ayam Bakso,Resto Premium,Manado
MNU000767,Es Teh Manis,Warung Tegal,bATAM
MNU000968,Gado-gado,Resto Premium,Malang
MNU000218,Capupccino,Resto Premium,PEKANBARU
MNU000005,Martabak Telor,Kedai Soto,Manado
MNU000769,Rendang Daging,Rumah Makan Padang,sEMARANG
MNU000643,,Resto Premium,manAdo
MNU000943,Kopi Susu Gula Aren,Warung Pak Budi,mAKASSAAR
MNU000613,Nasi Goreng Spesial,Warung Pak Budi,mANADO
MNU000739,Ketoprak,Depot Makan Enak,bandug
MNU000547,Opor Ayam,Warung Tegal,manado
MNU000726,Opor Ayam,Cafe Kopi Nusantara,sEMARANG
